Artista,Álbum,Año de lanzamiento,Canción,URL Artista,URL Canción
Eminem,Revival,2017,Walk On Water (con Beyoncé),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://hips.hearstapps.com/cosmopolitan/assets/16/17/1461967005-spl1271986-001.jpg
Eminem,Revival,2017,Believe,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://quotefancy.com/media/wallpaper/thumb/4189188-Eminem-Quote-I-believe-people-can-change-but-only-for-the-worse.jpg
Eminem,Revival,2017,River (con Ed Sheeran),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://historico.crazyminds.es/wp-content/uploads/eminem-y-ed-sheeran-juntos-en-el.jpg
Eminem,Revival,2017,Untouchable,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://media.pitchfork.com/photos/5a2ab7534166de2d9c718ef6/master/pass/eminem600x600bb.jpg
Eminem,Revival,2017,Like Home (con Alicia Keys),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://www.rap-up.com/wp-content/uploads/2022/04/alicia-keys-eminem-studio-feat-1280x720.jpg
Eminem,Revival,2017,Framed,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3LYkPjymkItsXZ1KftvsACkYiDRV1Fj99jYrbHS7ozw&s
Eminem,Revival,2017,Nowhere Fast (con Kehlani),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSHpFrYQioFRVwhFQEgc5ukrnJigT-ISiJsq3ndQmpzA&s
Eminem,Revival,2017,Heat,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://media.npr.org/assets/img/2018/09/10/gettyimages-930683002-e22148de4463d0355aae231314536d45e463e707.jpg?s=800&c=85&f=jpeg
Eminem,Revival,2017,Offended,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.pinimg.com/564x/6c/38/8d/6c388d0c0e800d03093ca7ca41099340.jpg
Eminem,Revival,2017,Need Me (con Pink),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://cdn01.justjared.com/wp-content/uploads/headlines/2017/12/eminem-pink-need-me-stream-lyrics.jpg
Eminem,Kamikaze,2018,The Ringer,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.ytimg.com/vi/ACNgFW50EbU/maxresdefault.jpg
Eminem,Kamikaze,2018,Greatest,https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://i.discogs.com/r52BcjMDbmKzRhg02hkHxwScuqXnB1xYd9MGgieASNY/rs:fit/g:sm/q:90/h:535/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNDc2/ODk5LTE1NTQ5NDIz/MzItMjM2OC5qcGVn.jpeg
Eminem,Kamikaze,2018,Lucky You (con Joyner Lucas),https://cdns-images.dzcdn.net/images/artist/19cc38f9d69b352f718782e7a22f9c32/500x500.jpg,https://image.europafm.com/clipping/cmsimages01/2018/09/16/9BFDA777-3CFF-4831-8DC6-01E61368D6BE/58.jpg
